Name,Brand,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Speaker,Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,Price,Benchmark Results,Battery Test,Popularity,Rating
iPhone 14 Pro Max,Apple,TRUE,TRUE,TRUE,TRUE,"2022, September 07","Available. Released 2022, September 16",160.7 x 77.6 x 7.9 mm (6.33 x 3.06 x 0.31 in),240 g (8.47 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), stainless steel frame","Nano-SIM and eSIM - International Dual eSIM with multiple numbers - USA Dual SIM (Nano-SIM, dual stand-by) - China","IP68 dust/water resistant (up to 6m for 30 min)
Apple Pay (Visa, MasterCard, AMEX certified)","LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)","6.7 inches, 110.2 cm2 (~88.3% screen-to-body ratio)","1290 x 2796 pixels, 19.5:9 ratio (~460 ppi density)",Ceramic Shield glass,Always-On display,"iOS 16, upgradable to iOS 16.5, planned upgrade to iOS 17",Apple A16 Bionic (4 nm),Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),Apple GPU (5-core graphics),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.8, 77mm (telephoto), 1/3.5"", PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF
TOF 3D LiDAR scanner (depth)","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (up to 60fps), ProRes, Cinematic mode (4K@24/30fps), stereo sound rec.","12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF, OIS (unconfirmed)
SL 3D, (depth/biometrics sensor)","HDR, Cinematic mode (4K@24/30fps)","4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.3, A2DP, LE","GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 4323 mAh, non-removable (16.68 Wh)","Wired, PD2.0, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,"Space Black, Silver, Gold, Deep Purple","A2894, A2651, A2893, A2895, iphone15,3",1099.99,"
AnTuTu: 955884 (v9)
GeekBench: 5423 (v5.1)
GFXBench: 54fps (ES 3.1 onscreen)",Endurance rating 121h,"7,390,480 hits",4.6
iPhone 14 Pro,Apple,TRUE,TRUE,TRUE,TRUE,"2022, September 07","Available. Released 2022, September 16",147.5 x 71.5 x 7.9 mm (5.81 x 2.81 x 0.31 in),206 g (7.27 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), stainless steel frame","Nano-SIM and eSIM - International Dual eSIM with multiple numbers - USA Dual SIM (Nano-SIM, dual stand-by) - China","IP68 dust/water resistant (up to 6m for 30 min)
Apple Pay (Visa, MasterCard, AMEX certified)","LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)","6.1 inches, 91.7 cm2 (~87.0% screen-to-body ratio)","1179 x 2556 pixels, 19.5:9 ratio (~460 ppi density)",Ceramic Shield glass,Always-On display,"iOS 16, upgradable to iOS 16.5, planned upgrade to iOS 17",Apple A16 Bionic (4 nm),Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),Apple GPU (5-core graphics),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM","48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.8, 77mm (telephoto), 1/3.5"", PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF
TOF 3D LiDAR scanner (depth)","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (up to 60fps), ProRes, Cinematic mode (4K@24/30fps), stereo sound rec.","12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF, OIS (unconfirmed)
SL 3D, (depth/biometrics sensor)","HDR, Cinematic mode (4K@24/30fps)","4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.3, A2DP, LE","GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 3200 mAh, non-removable (12.38 Wh)","Wired, PD2.0, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,"Space Black, Silver, Gold, Deep Purple","A2890, A2650, A2889, A2892, iphone15,2",999.99,"
AnTuTu: 968412 (v9)
GeekBench: 5346 (v5.1)
GFXBench: 60fps (ES 3.1 onscreen)",Endurance rating 86h,"3,273,412 hits",4.5
iPhone 14 Plus,Apple,TRUE,TRUE,TRUE,TRUE,"2022, September 07","Available. Released 2022, October 07",160.8 x 78.1 x 7.8 mm (6.33 x 3.07 x 0.31 in),203 g (7.16 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), aluminum frame","Nano-SIM and eSIM - International Dual eSIM with multiple numbers - USA Dual SIM (Nano-SIM, dual stand-by) - China","IP68 dust/water resistant (up to 6m for 30 min)
Apple Pay (Visa, MasterCard, AMEX certified)","Super Retina XDR OLED, HDR10, Dolby Vision, 800 nits (HBM), 1200 nits (peak)","6.7 inches, 109.8 cm2 (~87.4% screen-to-body ratio)","1284 x 2778 pixels, 19.5:9 ratio (~458 ppi density)",Ceramic Shield glass,,"iOS 16, upgradable to iOS 16.5, planned upgrade to iOS 17",Apple A15 Bionic (5 nm),Hexa-core (2x3.23 GHz Avalanche + 4x1.82 GHz Blizzard),Apple GPU (5-core graphics),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM","12 MP, f/1.5, 26mm (wide),  1/1.7"", 1.9µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.4, 13mm, 120˚ (ultrawide)","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), Cinematic mode (4K@30fps), stereo sound rec.","12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF
SL 3D, (depth/biometrics sensor)","HDR, Cinematic mode (4K@30fps)","4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 4323 mAh, non-removable (16.68 Wh)","Wired, PD2.0, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,"Midnight, Purple, Starlight, Blue, Red, Yellow","A2886, A2632, A2885, A2896, A2887, iphone14,8",899.99,"
AnTuTu: 797976 (v9)
GeekBench: 4582 (v5.1)
GFXBench: 60fps (ES 3.1 onscreen)",Endurance rating 102h,"1,739,894 hits",4.3
iPhone 14,Apple,TRUE,TRUE,TRUE,TRUE,"2022, September 07","Available. Released 2022, September 16",146.7 x 71.5 x 7.8 mm (5.78 x 2.81 x 0.31 in),172 g (6.07 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), aluminum frame","Nano-SIM and eSIM - International Dual eSIM with multiple numbers - USA Dual SIM (Nano-SIM, dual stand-by) - China","IP68 dust/water resistant (up to 6m for 30 min)
Apple Pay (Visa, MasterCard, AMEX certified)","Super Retina XDR OLED, HDR10, Dolby Vision, 800 nits (HBM), 1200 nits (peak)","6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)",Ceramic Shield glass,,"iOS 16, upgradable to iOS 16.5, planned upgrade to iOS 17",Apple A15 Bionic (5 nm),Hexa-core (2x3.23 GHz Avalanche + 4x1.82 GHz Blizzard),Apple GPU (5-core graphics),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM","12 MP, f/1.5, 26mm (wide),  1/1.7"", 1.9µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.4, 13mm, 120˚ (ultrawide)","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), Cinematic mode (4K@30fps), stereo sound rec.","12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF
SL 3D, (depth/biometrics sensor)","HDR, Cinematic mode (4K@30fps)","4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 3279 mAh, non-removable (12.68 Wh)","Wired, PD2.0, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,"Midnight, Purple, Starlight, Blue, Red, Yellow","A2882, A2649, A2881, A2884, A2883, iphone14,7",799.99,"
AnTuTu: 817125 (v9)
GeekBench: 4761 (v5.1)
GFXBench: 60fps (ES 3.1 onscreen)",Endurance rating 90h,"2,932,258 hits",4.2
Phone SE (2022),Apple,TRUE,TRUE,TRUE,TRUE,"2022, March 08","Available. Released 2022, March 18",138.4 x 67.3 x 7.3 mm (5.45 x 2.65 x 0.29 in),144 g (5.08 oz),"Glass front, glass back, aluminum frame",Nano-SIM and eSIM,"IP67 dust/water resistant (up to 1m for 30 min)
Apple Pay (Visa, MasterCard, AMEX certified)","Retina IPS LCD, 625 nits (typ)","4.7 inches, 60.9 cm2 (~65.4% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)",Ion-strengthened glass,,"iOS 15.4, upgradable to iOS 16.5, planned upgrade to iOS 17",Apple A15 Bionic (5 nm),Hexa-core (2x3.22 GHz Avalanche + 4x1.82 GHz Blizzard),Apple GPU (4-core graphics),No,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM","12 MP, f/1.8 (wide), PDAF, OIS","Quad-LED dual-tone flash, HDR, panorama","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, OIS, stereo sound rec.","7 MP, f/2.2",HDR,1080p@30/120fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"Lightning, USB 2.0","Fingerprint (front-mounted), accelerometer, proximity, gyro, compass, barometer","Li-Ion 2018 mAh, non-removable (6.96 Wh)","20W wired, 50% in 30 min (advertised)
7.5W wireless (Qi)",,"Midnight, Starlight, Red","A2783, A2595, A2785, A2782, A2784, iphone14,6",399,"
AnTuTu: 723486 (v9)
GeekBench: 4629 (v5.1)
GFXBench: 60fps (ES 3.1 onscreen)",Endurance rating 62h,"3,015,649 hits",3.9
iPhone 13 Pro Max,Apple,TRUE,TRUE,TRUE,TRUE,"2021, September 14","Available. Released 2021, September 24",160.8 x 78.1 x 7.7 mm (6.33 x 3.07 x 0.30 in),240 g (8.47 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), stainless steel frame","Nano-SIM and eSIM or Dual SIM (Nano-SIM, dual stand-by)","IP68 dust/water resistant (up to 6m for 30 min)
Apple Pay (Visa, MasterCard, AMEX certified)","Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (HBM), 1200 nits (peak)","6.7 inches, 109.8 cm2 (~87.4% screen-to-body ratio)","1284 x 2778 pixels, 19.5:9 ratio (~458 ppi density)",Ceramic Shield glass,,"iOS 15, upgradable to iOS 16.5, planned upgrade to iOS 17",Apple A15 Bionic (5 nm),Hexa-core (2x3.23 GHz Avalanche + 4x1.82 GHz Blizzard),Apple GPU (5-core graphics),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM","12 MP, f/1.5, 26mm (wide), 1/1.7"", 1.9µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.8, 77mm (telephoto), PDAF, 1/3.5"", OIS, 3x optical zoom
12 MP, f/1.8, 13mm, 120˚ (ultrawide), 1/3.5"", PDAF
TOF 3D LiDAR scanner (depth)","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (up to 60fps), ProRes, Cinematic mode (1080p@30fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)",HDR,"4K@24/25/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 4352 mAh, non-removable (16.75 Wh)","Wired, PD2.0, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,"Graphite, Gold, Silver, Sierra Blue, Alpine Green","A2643, A2484, A2641, A2644, A2645, iphone14,3",1033.05,"
AnTuTu: 801691 (v9)
GeekBench: 4706 (v5.1)
GFXBench: 60fps (ES 3.1 onscreen)",Endurance rating 121h,"11,076,982 hits",4.6
iPhone 13 Pro,Apple,TRUE,TRUE,TRUE,TRUE,"2021, September 14","Available. Released 2021, September 24",146.7 x 71.5 x 7.7 mm (5.78 x 2.81 x 0.30 in),204 g (7.20 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), stainless steel frame","Nano-SIM and eSIM or Dual SIM (Nano-SIM, dual stand-by)","IP68 dust/water resistant (up to 6m for 30 min)
Apple Pay (Visa, MasterCard, AMEX certified)","Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (HBM), 1200 nits (peak)","6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)",Ceramic Shield glass,,"iOS 15, upgradable to iOS 16.5, planned upgrade to iOS 17",Apple A15 Bionic (5 nm),Hexa-core (2x3.23 GHz Avalanche + 4x1.82 GHz Blizzard),Apple GPU (5-core graphics),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM, 1TB 6GB RAM","12 MP, f/1.5, 26mm (wide), 1/1.7"", 1.9µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.8, 77mm (telephoto), PDAF, 1/3.5"", OIS, 3x optical zoom
12 MP, f/1.8, 13mm, 120˚ (ultrawide), 1/3.5"", PDAF
TOF 3D LiDAR scanner (depth)","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, 10‑bit HDR, Dolby Vision HDR (up to 60fps), ProRes, Cinematic mode (1080p@30fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)",HDR,"4K@24/25/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 3095 mAh, non-removable (12.11 Wh)","Wired, PD2.0, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,"Graphite, Gold, Silver, Sierra Blue, Alpine Green","A2638, A2483, A2636, A2639, A2640, iPhone14,2",998.95,"
AnTuTu: 794348 (v9)
GeekBench: 4687 (v5.1)
GFXBench: 60fps (ES 3.1 onscreen)",Endurance rating 85h,"5,111,126 hits",4.5
iPhone 13,Apple,TRUE,TRUE,TRUE,TRUE,"2021, September 14","Available. Released 2021, September 24",146.7 x 71.5 x 7.7 mm (5.78 x 2.81 x 0.30 in),174 g (6.14 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), aluminum frame","Nano-SIM and eSIM or Dual SIM (Nano-SIM, dual stand-by)","IP68 dust/water resistant (up to 6m for 30 min)
Apple Pay (Visa, MasterCard, AMEX certified)","Super Retina XDR OLED, HDR10, Dolby Vision, 800 nits (HBM), 1200 nits (peak)","6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)",Ceramic Shield glass,,"iOS 15, upgradable to iOS 16.5, planned upgrade to iOS 17",Apple A15 Bionic (5 nm),Hexa-core (2x3.23 GHz Avalanche + 4x1.82 GHz Blizzard),Apple GPU (4-core graphics),No,"128GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM","12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.4, 120˚, 13mm (ultrawide)","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)",HDR,"4K@24/25/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 3240 mAh, non-removable (12.41 Wh)","Wired, PD2.0, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,"Starlight, Midnight, Blue, Pink, Red, Green","A2633, A2482, A2631, A2634, A2635, iphone14,5",799.99,"
AnTuTu: 775519 (v9)
GeekBench: 4645 (v5.1)
GFXBench: 59fps (ES 3.1 onscreen)",Endurance rating 89h,"7,442,532 hits",4.2
iPhone 13 mini,Apple,TRUE,TRUE,TRUE,TRUE,"2021, September 14","Available. Released 2021, September 24",131.5 x 64.2 x 7.7 mm (5.18 x 2.53 x 0.30 in),141 g (4.97 oz),"Glass front (Corning-made glass), glass back (Corning-made glass), aluminum frame","Nano-SIM and eSIM or Dual SIM (Nano-SIM, dual stand-by)","IP68 dust/water resistant (up to 6m for 30 min)
Apple Pay (Visa, MasterCard, AMEX certified)","Super Retina XDR OLED, HDR10, Dolby Vision, 800 nits (HBM), 1200 nits (peak)","5.4 inches, 71.9 cm2 (~85.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~476 ppi density)",Ceramic Shield glass,,"iOS 15, upgradable to iOS 16.5, planned upgrade to iOS 17",Apple A15 Bionic (5 nm),Hexa-core (2x3.23 GHz Avalanche + 4x1.82 GHz Blizzard),Apple GPU (4-core graphics),No,"128GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM","12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, sensor-shift OIS
12 MP, f/2.4, 120˚, 13mm (ultrawide)","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)",HDR,"4K@24/25/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 2438 mAh, non-removable (9.34 Wh)","Wired, PD2.0, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,"Starlight, Midnight, Blue, Pink, Red, Green","A2628, A2481, A2626, A2629, A2630, iphone14,4",699.99,"
AnTuTu: 772512 (v9)
GeekBench: 4681 (v5.1)
GFXBench: 60fps (ES 3.1 onscreen)",Endurance rating 75h,"2,926,967 hits",4.1
iPhone SE (2020),Apple,TRUE,TRUE,TRUE,FALSE,"2020, April 15","Available. Released 2020, April 24",138.4 x 67.3 x 7.3 mm (5.45 x 2.65 x 0.29 in),148 g (5.22 oz),"Glass front, glass back, aluminum frame",Nano-SIM and eSIM,"IP67 dust/water resistant (up to 1m for 30 min)
Apple Pay (Visa, MasterCard, AMEX certified)","Retina IPS LCD, 625 nits (typ)","4.7 inches, 60.9 cm2 (~65.4% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)",Ion-strengthened glass,,"iOS 13, upgradable to iOS 16.5, planned upgrade to iOS 17",Apple A13 Bionic (7 nm+),Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),Apple GPU (4-core graphics),No,"64GB 3GB RAM, 128GB 3GB RAM, 256GB 3GB RAM","12 MP, f/1.8 (wide), PDAF, OIS","Quad-LED dual-tone flash, HDR, panorama","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, OIS, stereo sound rec.","7 MP, f/2.2",HDR,1080p@30fps, gyro-EIS,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","GPS, GLONASS",Yes,No,"Lightning, USB 2.0","Fingerprint (front-mounted), accelerometer, proximity, gyro, compass, barometer","Li-Ion 1821 mAh, non-removable (6.91 Wh)","18W wired, 50% in 30 min (advertised)
7.5W wireless (Qi)","Black, White, Red",0.98 W/kg (head)     0.99 W/kg (body)     ,324.77,"
AnTuTu: 462253 (v8)
GeekBench: 3237 (v5.1)",Endurance rating 59h,"8,731,496 hits",3.5
